,EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode,LocalTimeStart,LocalTimeEnd
11233,W-11236,Rain,Light,2019-01-01 05:53:00,2019-01-01 06:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2018-12-31 23:53:00,2019-01-01 00:53:00
11234,W-11237,Rain,Light,2019-01-01 22:53:00,2019-01-01 23:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2019-01-01 16:53:00,2019-01-01 17:53:00
11235,W-11238,Rain,Light,2019-01-02 09:25:00,2019-01-02 09:32:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2019-01-02 03:25:00,2019-01-02 03:32:00
11236,W-11239,Rain,Moderate,2019-01-02 09:32:00,2019-01-02 10:28:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2019-01-02 03:32:00,2019-01-02 04:28:00
11237,W-11240,Rain,Light,2019-01-02 10:28:00,2019-01-02 11:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2019-01-02 04:28:00,2019-01-02 05:53:00
11238,W-11241,Fog,Severe,2019-01-02 20:53:00,2019-01-02 22:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2019-01-02 14:53:00,2019-01-02 16:53:00
11239,W-11242,Rain,Light,2019-01-03 04:53:00,2019-01-03 06:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2019-01-02 22:53:00,2019-01-03 00:53:00
11240,W-11243,Rain,Light,2019-01-03 08:51:00,2019-01-03 09:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2019-01-03 02:51:00,2019-01-03 03:53:00
11241,W-11244,Rain,Light,2019-01-03 13:53:00,2019-01-03 17:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2019-01-03 07:53:00,2019-01-03 11:53:00
11242,W-11245,Rain,Moderate,2019-01-03 17:53:00,2019-01-03 18:19:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2019-01-03 11:53:00,2019-01-03 12:19:00
11243,W-11246,Rain,Light,2019-01-03 18:19:00,2019-01-03 18:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2019-01-03 12:19:00,2019-01-03 12:53:00
11244,W-11247,Rain,Moderate,2019-01-03 18:53:00,2019-01-03 19:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2019-01-03 12:53:00,2019-01-03 13:53:00
